no,title,average,inst,hall_of_fame,debut,date,initial,r2005,r2006#1,r2006#2,r2007,r2008,r2009,r2010,r2011,r2012,r2013,r2014,r2015,r2016,r2017,r2018,r2019u,r2019,remarks
31,Virtual Fantasy,191.154,False,False,DALI,1994-02-16,r2005,,,,164.0,120.0,166.0,179.0,173.0,171.0,218.0,204.0,220.0,190.0,199.0,221.0,148.0,260.0,
32,小夜啼鳥,207.154,False,False,DALI,1994-02-16,r2005,,,,187.0,208.0,215.0,179.0,211.0,190.0,218.0,129.0,209.0,244.0,237.0,250.0,174.0,216.0,
33,星降る夜の天文学 ～BEDSIDE ASTRONOMY～,143.385,False,False,DALI,1994-02-16,r2005,,,,141.0,122.0,152.0,104.0,158.0,92.0,115.0,102.0,220.0,86.0,237.0,221.0,124.0,114.0,
34,月光の橋,198.833,True,False,DALI,1994-02-16,r2005,,,,187.0,197.0,226.0,214.0,175.0,194.0,,,,,,,,,
35,オフェリア遺文,119.000,False,False,DALI,1994-02-16,r2005,,,,124.0,79.0,99.0,104.0,103.0,124.0,91.0,126.0,113.0,111.0,187.0,169.0,33.0,117.0,
36,雨のソナタ ～La Pluie～,99.857,False,False,雨のソナタ ～La Pluie～,1995-10-18,r2005,16.0,,,105.0,113.0,98.0,128.0,103.0,124.0,196.0,136.0,74.0,79.0,67.0,72.0,,87.0,
37,Nous Deux C'est Pour La Vie,115.143,False,False,雨のソナタ ～La Pluie～,1995-10-18,r2005,,17.0,,44.0,65.0,80.0,118.0,117.0,107.0,95.0,136.0,136.0,186.0,151.0,181.0,75.0,179.0,
38,冬物語,143.615,False,False,星と月のソナタ,1995-12-06,r2005,,,,135.0,128.0,135.0,155.0,158.0,150.0,155.0,130.0,200.0,84.0,108.0,103.0,86.0,226.0,
39,彼と彼女の聖夜,119.462,False,False,星と月のソナタ,1995-12-06,r2005,,,,130.0,133.0,168.0,164.0,97.0,151.0,122.0,134.0,112.0,51.0,70.0,68.0,,153.0,
40,ストロベリーパイをお食べ,113.846,False,False,緑山高校甲子園編 オリジナルサウンドトラック盤,1995-12-06,r2005,,,,68.0,63.0,74.0,81.0,89.0,127.0,82.0,150.0,115.0,136.0,118.0,151.0,63.0,226.0,
41,星月夜 ～ルシファー第四楽章～,64.308,False,False,星月夜 ～ルシファー第四楽章～,1996-08-01,r2005,,,,89.0,104.0,95.0,65.0,76.0,88.0,25.0,43.0,45.0,67.0,44.0,59.0,,36.0,
42,Only Love Song,179.615,False,False,星月夜 ～ルシファー第四楽章～,1996-08-01,r2005,,,,187.0,129.0,185.0,150.0,158.0,217.0,189.0,147.0,200.0,201.0,202.0,200.0,135.0,170.0,
43,Wish,118.231,False,False,Wish,1996-12-24,r2005,,,,53.0,71.0,81.0,72.0,86.0,127.0,48.0,190.0,143.0,174.0,176.0,142.0,27.0,174.0,
44,夢のあとに ～après un rêve～,207.923,False,False,Wish,1996-12-24,r2005,,,,168.0,199.0,198.0,164.0,211.0,217.0,188.0,223.0,253.0,225.0,176.0,221.0,162.0,260.0,
45,エンジェル・エッグの作り方,193.692,False,False,music tracks from Wish,1997-02-05,r2005,,,,150.0,189.0,177.0,192.0,147.0,173.0,196.0,223.0,143.0,244.0,174.0,250.0,132.0,260.0,
46,Chu Chu,220.385,False,False,music tracks from Wish,1997-02-05,r2005,,,,136.0,164.0,226.0,214.0,223.0,217.0,218.0,223.0,253.0,244.0,237.0,250.0,150.0,260.0,
47,Sanctuary,227.000,False,False,music tracks from Wish,1997-02-05,r2005,,,,187.0,199.0,226.0,214.0,223.0,217.0,218.0,223.0,253.0,244.0,237.0,250.0,181.0,260.0,
48,ピアニィ・ピンク,125.154,False,False,ピアニィ・ピンク,1997-05-21,r2005,,,,50.0,91.0,89.0,125.0,92.0,124.0,218.0,113.0,166.0,201.0,167.0,115.0,49.0,76.0,
